id,name,age,city,salary,department,performance_score,join_date
62,Grace,27,Dallas,81115,Support,2.0,2015-03-03
63,Eva,56,Chicago,119790,HR,3.88,2015-03-04
64,Alice,30,Phoenix,119557,Sales,3.41,2015-03-05
65,Grace,48,New York,111260,Support,4.67,2015-03-06
66,Bob,24,Houston,68690,HR,1.2,2015-03-07
67,David,59,Los Angeles,41407,Marketing,1.62,2015-03-08
68,Alice,59,Dallas,113568,HR,4.16,2015-03-09
69,David,53,San Diego,98560,Finance,2.43,2015-03-10
70,Frank,37,Dallas,87340,Marketing,1.47,2015-03-11
71,Bob,21,Houston,57794,Sales,4.99,2015-03-12
72,Bob,24,Houston,59881,Marketing,4.15,2015-03-13
73,Alice,18,San Diego,89703,Marketing,2.63,2015-03-14
74,Bob,61,New York,84354,Sales,4.29,2015-03-15
75,Eva,62,Phoenix,118462,Sales,3.72,2015-03-16
76,Bob,59,Chicago,54390,Support,4.16,2015-03-17
77,David,64,Dallas,67307,Finance,4.26,2015-03-18
78,David,30,San Diego,64502,Sales,1.34,2015-03-19
79,Grace,39,Dallas,62486,IT,3.49,2015-03-20
80,David,38,Houston,78258,IT,1.03,2015-03-21
81,Grace,39,Phoenix,97716,Finance,1.17,2015-03-22
82,David,45,Dallas,50748,HR,4.62,2015-03-23
83,Eva,26,Chicago,102785,HR,3.11,2015-03-24
84,Helen,43,Houston,116050,IT,3.94,2015-03-25
85,Grace,26,Chicago,62738,Sales,4.35,2015-03-26
86,Charlie,32,Phoenix,114231,Finance,4.8,2015-03-27
87,Frank,27,Dallas,113606,HR,4.48,2015-03-28
88,Alice,41,Los Angeles,81662,HR,2.93,2015-03-29
89,David,59,Dallas,55123,Marketing,2.34,2015-03-30
90,Bob,25,Phoenix,65616,IT,1.62,2015-03-31
91,Helen,41,Dallas,51182,Sales,2.6,2015-04-01
92,David,33,San Diego,102013,Finance,2.47,2015-04-02
93,Bob,43,Dallas,71331,HR,3.24,2015-04-03
94,Frank,44,New York,86098,Marketing,3.66,2015-04-04
95,Frank,54,Dallas,66128,IT,4.91,2015-04-05
96,Frank,21,Dallas,71556,IT,3.91,2015-04-06
97,Bob,41,Chicago,61876,Finance,3.57,2015-04-07
98,David,36,Los Angeles,48949,HR,2.34,2015-04-08
99,Frank,53,Chicago,91962,Finance,1.14,2015-04-09
100,Eva,56,Chicago,111206,Finance,2.15,2015-04-10
101,Grace,27,Houston,64099,Support,4.07,2015-04-11
102,Bob,42,New York,52716,Marketing,1.82,2015-04-12
103,Bob,35,Chicago,92611,IT,3.85,2015-04-13
104,David,36,San Diego,78885,Support,3.32,2015-04-14
105,Bob,53,Phoenix,93144,Sales,1.69,2015-04-15
106,Bob,27,San Diego,105220,IT,2.05,2015-04-16
107,Frank,50,Phoenix,47837,IT,2.99,2015-04-17
108,David,22,Dallas,89355,Marketing,2.67,2015-04-18
109,Frank,64,Houston,87299,Sales,4.11,2015-04-19
110,Grace,52,New York,59159,HR,3.94,2015-04-20
111,Helen,61,San Diego,91012,Sales,3.3,2015-04-21
112,Grace,51,New York,99305,HR,4.29,2015-04-22
113,Helen,50,San Diego,57106,Sales,3.25,2015-04-23
114,Frank,38,Dallas,98123,Finance,4.86,2015-04-24
115,Grace,34,Phoenix,48720,Sales,1.87,2015-04-25
116,David,39,Los Angeles,77661,Support,3.86,2015-04-26
117,Alice,54,Houston,61120,Support,2.48,2015-04-27
118,Frank,32,San Diego,59790,Marketing,2.12,2015-04-28
119,Helen,52,San Diego,98655,HR,1.72,2015-04-29
120,Eva,45,Dallas,99643,IT,3.21,2015-04-30
121,Helen,24,Houston,87374,Marketing,1.86,2015-05-01
122,Eva,49,Phoenix,82907,Support,1.8,2015-05-02
123,Bob,28,Phoenix,90071,Support,4.96,2015-05-03
124,Grace,27,San Diego,74812,HR,4.21,2015-05-04
125,Eva,26,Los Angeles,89570,Support,3.99,2015-05-05
126,Helen,31,Los Angeles,90901,Support,4.18,2015-05-06
127,Bob,30,New York,100186,HR,4.88,2015-05-07
128,Alice,42,Houston,90251,Support,3.29,2015-05-08
129,David,19,Houston,105171,IT,1.88,2015-05-09
130,David,52,Phoenix,76160,Finance,4.45,2015-05-10
131,David,24,New York,59156,Marketing,3.97,2015-05-11
132,Eva,38,Dallas,116208,IT,2.66,2015-05-12
133,Alice,35,Houston,119980,IT,2.89,2015-05-13
134,Eva,20,New York,112320,Finance,2.65,2015-05-14
135,Grace,59,New York,57929,Marketing,4.72,2015-05-15
136,Eva,56,San Diego,106606,IT,2.37,2015-05-16
137,Alice,58,Phoenix,102559,Support,4.85,2015-05-17
138,Alice,28,New York,94205,Finance,4.64,2015-05-18
139,Grace,56,Los Angeles,108475,Marketing,3.52,2015-05-19
140,Alice,41,Los Angeles,104341,Sales,3.32,2015-05-20
141,Helen,63,Chicago,82863,HR,2.48,2015-05-21
142,Alice,36,Phoenix,105439,Support,1.07,2015-05-22
143,David,21,San Diego,47194,Finance,1.51,2015-05-23
144,Helen,43,Dallas,111387,HR,4.02,2015-05-24
145,Helen,55,Chicago,106214,Sales,2.89,2015-05-25
146,Grace,59,Los Angeles,69777,IT,1.6,2015-05-26
147,Charlie,49,San Diego,66183,IT,2.06,2015-05-27
148,Charlie,56,Chicago,67445,Marketing,4.79,2015-05-28
149,Alice,62,Phoenix,107038,Finance,2.47,2015-05-29
150,Helen,63,San Diego,56198,Finance,4.63,2015-05-30
151,Charlie,53,Phoenix,61411,Marketing,2.22,2015-05-31
152,Charlie,57,New York,90577,HR,3.17,2015-06-01
153,Alice,54,Houston,55867,IT,1.08,2015-06-02
154,Charlie,50,New York,102501,IT,3.09,2015-06-03
155,Eva,53,Phoenix,54266,Finance,3.55,2015-06-04
156,Bob,20,San Diego,79422,Finance,1.94,2015-06-05
157,Grace,26,Los Angeles,75208,Marketing,3.32,2015-06-06
158,Bob,25,Dallas,71213,Sales,3.59,2015-06-07
159,Alice,50,Los Angeles,47367,HR,3.75,2015-06-08
160,David,23,San Diego,119026,Support,4.11,2015-06-09
161,Grace,58,New York,75362,Sales,2.25,2015-06-10
162,Alice,56,Dallas,91588,Sales,3.27,2015-06-11
163,Helen,21,San Diego,78285,Finance,4.93,2015-06-12
164,David,30,Phoenix,114755,Finance,4.59,2015-06-13
165,Bob,19,Los Angeles,111846,Finance,4.81,2015-06-14
166,Alice,22,Phoenix,76307,Sales,2.54,2015-06-15
167,Helen,61,Dallas,59867,HR,4.15,2015-06-16
168,Grace,44,Dallas,96523,Finance,3.48,2015-06-17
169,Grace,49,Los Angeles,46378,IT,1.33,2015-06-18
170,Frank,38,Phoenix,116958,HR,4.3,2015-06-19
171,Helen,25,Chicago,67926,IT,3.71,2015-06-20
172,Eva,55,Phoenix,53180,HR,1.8,2015-06-21
173,Charlie,25,Dallas,76931,Finance,1.32,2015-06-22
174,David,20,Phoenix,64014,Support,4.35,2015-06-23
175,Helen,61,San Diego,119872,Marketing,1.32,2015-06-24
176,Frank,20,New York,98502,Finance,1.37,2015-06-25
177,Charlie,39,Chicago,45470,Sales,2.71,2015-06-26
178,Charlie,23,Houston,54953,Support,1.54,2015-06-27
179,Alice,19,San Diego,78507,Sales,4.65,2015-06-28
180,Charlie,40,New York,46523,HR,2.88,2015-06-29
181,Eva,61,Houston,97190,Sales,3.28,2015-06-30
182,Grace,19,Los Angeles,87761,Support,4.71,2015-07-01
183,Frank,55,Houston,71169,Support,3.12,2015-07-02
184,Charlie,34,San Diego,85641,Finance,2.41,2015-07-03
185,Alice,52,Phoenix,62990,IT,4.19,2015-07-04
186,Eva,51,San Diego,69661,Finance,2.77,2015-07-05
187,Bob,40,Houston,53419,HR,2.27,2015-07-06
188,Grace,47,Dallas,54457,Sales,3.89,2015-07-07
189,Grace,25,New York,107600,IT,4.21,2015-07-08
190,Frank,39,New York,116102,Marketing,4.17,2015-07-09
191,Grace,61,Houston,73085,Support,4.91,2015-07-10
192,Charlie,53,New York,90654,IT,4.15,2015-07-11
193,Alice,22,Dallas,46130,IT,4.08,2015-07-12
194,Grace,30,San Diego,42042,Finance,4.43,2015-07-13
195,Grace,46,New York,110134,Marketing,1.0,2015-07-14
196,Bob,48,Houston,82982,Support,2.45,2015-07-15
197,Bob,64,Chicago,105185,HR,3.95,2015-07-16
198,David,33,Chicago,73477,HR,3.4,2015-07-17
199,Eva,59,Los Angeles,92709,IT,1.71,2015-07-18
200,Charlie,47,New York,68716,IT,2.21,2015-07-19
201,Grace,33,San Diego,118137,Sales,2.35,2015-07-20
202,Helen,29,Houston,76018,Marketing,3.27,2015-07-21
203,Grace,34,New York,48061,Support,4.33,2015-07-22
204,Alice,33,Phoenix,48609,IT,4.73,2015-07-23
205,David,29,Dallas,75371,Sales,4.0,2015-07-24
206,Eva,25,New York,60805,Marketing,4.37,2015-07-25
207,Helen,37,New York,47857,Support,2.88,2015-07-26
208,David,20,Chicago,51620,HR,2.56,2015-07-27
209,Frank,33,Dallas,48177,Sales,2.57,2015-07-28
210,Eva,47,Houston,70111,Marketing,3.46,2015-07-29
211,Grace,62,New York,51826,Sales,1.5,2015-07-30
212,Grace,40,Chicago,53890,IT,3.32,2015-07-31
213,Eva,45,Los Angeles,98031,Finance,3.66,2015-08-01
214,Grace,57,Dallas,115020,HR,2.76,2015-08-02
215,Charlie,22,Chicago,45495,IT,4.81,2015-08-03
216,Eva,37,Chicago,68481,IT,3.43,2015-08-04
217,David,57,San Diego,51267,Marketing,1.88,2015-08-05
218,Eva,61,Chicago,46743,Sales,2.92,2015-08-06
219,Helen,18,San Diego,94800,HR,3.7,2015-08-07
220,Grace,47,New York,88773,IT,2.29,2015-08-08
221,Charlie,38,New York,97042,Marketing,1.32,2015-08-09
222,Charlie,37,Los Angeles,89476,HR,3.33,2015-08-10
223,Frank,23,Phoenix,68552,Sales,4.79,2015-08-11
224,David,39,Phoenix,105242,IT,2.94,2015-08-12
225,Bob,35,Phoenix,85772,Support,4.62,2015-08-13
226,Bob,25,San Diego,83730,IT,4.34,2015-08-14
227,Eva,56,Dallas,68948,IT,1.59,2015-08-15
228,Frank,49,Dallas,116311,HR,3.83,2015-08-16
229,Alice,50,Los Angeles,109093,HR,2.74,2015-08-17
230,Eva,33,Dallas,109123,HR,2.0,2015-08-18
231,Frank,29,Phoenix,56535,HR,3.75,2015-08-19
232,David,55,Phoenix,106490,Marketing,3.97,2015-08-20
233,David,51,Chicago,86562,Finance,1.72,2015-08-21
234,David,31,Dallas,98535,Marketing,4.66,2015-08-22
235,David,53,New York,81269,IT,4.0,2015-08-23
236,David,50,New York,82462,Marketing,4.73,2015-08-24
237,Frank,40,Chicago,43127,Sales,2.27,2015-08-25
238,Frank,62,Chicago,63147,Support,4.76,2015-08-26
239,Charlie,19,Chicago,85528,HR,2.47,2015-08-27
240,Helen,58,New York,117095,Sales,1.22,2015-08-28
241,Bob,38,Phoenix,108931,Support,4.05,2015-08-29
242,Grace,19,Chicago,106381,Sales,3.81,2015-08-30
243,David,44,Los Angeles,103749,IT,3.39,2015-08-31
244,Alice,26,San Diego,78672,HR,2.96,2015-09-01
245,Grace,18,Chicago,53731,Sales,1.13,2015-09-02
246,Frank,28,San Diego,94512,IT,3.5,2015-09-03
247,Alice,20,Houston,91024,HR,2.67,2015-09-04
248,Alice,40,Chicago,43832,Finance,3.24,2015-09-05
249,Alice,43,New York,72332,IT,2.72,2015-09-06
250,Charlie,21,Dallas,52467,Marketing,4.86,2015-09-07
251,Frank,35,Chicago,81025,HR,3.42,2015-09-08
252,Alice,23,Dallas,53107,Sales,4.0,2015-09-09
253,David,52,Houston,117994,Support,4.75,2015-09-10
254,Eva,39,Los Angeles,83481,Sales,3.37,2015-09-11
255,Alice,60,Dallas,42581,Marketing,1.05,2015-09-12
256,Charlie,32,San Diego,115118,Marketing,1.14,2015-09-13
257,Grace,39,Phoenix,91638,Sales,3.81,2015-09-14
258,Frank,54,Chicago,48418,Support,2.12,2015-09-15
259,Helen,59,Houston,69113,HR,3.32,2015-09-16
260,Charlie,29,Houston,103044,IT,1.81,2015-09-17
261,Alice,64,Dallas,119955,Marketing,2.08,2015-09-18
262,Frank,59,Los Angeles,101030,Marketing,3.02,2015-09-19
263,Eva,55,New York,51814,Marketing,4.9,2015-09-20
264,Alice,35,Chicago,50024,Support,3.47,2015-09-21
265,Charlie,62,Houston,103288,Finance,4.74,2015-09-22
266,Bob,52,Los Angeles,97836,Support,4.84,2015-09-23
267,David,47,Phoenix,47435,HR,1.83,2015-09-24
268,Helen,41,Houston,107084,HR,2.24,2015-09-25
269,Grace,59,Los Angeles,110601,HR,4.08,2015-09-26
270,Charlie,47,New York,43407,HR,4.47,2015-09-27
271,Frank,31,New York,72940,HR,3.08,2015-09-28
272,Helen,23,Houston,45666,Sales,4.97,2015-09-29
273,Helen,20,San Diego,77122,Marketing,1.05,2015-09-30
274,Helen,33,Houston,65092,Support,2.2,2015-10-01
275,Alice,24,Dallas,115645,Sales,3.49,2015-10-02
276,David,31,Chicago,66505,Support,2.88,2015-10-03
277,Alice,26,Los Angeles,76713,Finance,1.47,2015-10-04
278,Frank,32,Houston,94387,IT,2.47,2015-10-05
279,Alice,38,Chicago,83169,Marketing,1.1,2015-10-06
280,Bob,52,Dallas,113282,Finance,3.57,2015-10-07
281,David,19,Chicago,117511,Sales,4.57,2015-10-08
282,David,44,Houston,91742,IT,4.54,2015-10-09
283,Frank,19,New York,80522,Finance,3.8,2015-10-10
284,Grace,52,Los Angeles,43880,Support,2.86,2015-10-11
285,Bob,35,Los Angeles,83454,IT,3.05,2015-10-12
286,Charlie,31,New York,95711,Support,1.55,2015-10-13
287,Alice,37,San Diego,83539,Finance,2.36,2015-10-14
288,Eva,35,Houston,108321,Sales,1.75,2015-10-15
289,Alice,27,Los Angeles,54799,Support,4.28,2015-10-16
290,Helen,42,Houston,100102,IT,4.66,2015-10-17
291,Alice,19,Dallas,90726,Finance,3.15,2015-10-18
292,Charlie,42,Houston,88784,Support,3.91,2015-10-19
293,Alice,50,Chicago,83333,Sales,1.49,2015-10-20
294,Bob,53,New York,80828,Marketing,3.43,2015-10-21
295,Bob,48,San Diego,109526,Sales,3.81,2015-10-22
296,David,31,Houston,94362,Sales,2.81,2015-10-23
297,Frank,18,San Diego,93997,Marketing,1.97,2015-10-24
298,Grace,63,San Diego,90341,Sales,4.51,2015-10-25
299,Eva,33,Dallas,59073,Marketing,3.97,2015-10-26
300,Helen,63,Phoenix,54549,Marketing,4.6,2015-10-27
301,Alice,20,New York,96920,Support,4.27,2015-10-28
302,Alice,52,San Diego,115515,Support,4.96,2015-10-29
303,Charlie,58,Los Angeles,60316,Marketing,1.77,2015-10-30
304,Frank,23,Chicago,66183,Finance,1.35,2015-10-31
305,Bob,42,Los Angeles,64624,IT,2.35,2015-11-01
306,Eva,30,Dallas,102515,Finance,1.52,2015-11-02
307,David,51,Dallas,86705,Marketing,3.09,2015-11-03
308,Bob,25,Los Angeles,66756,IT,3.53,2015-11-04
309,Helen,38,New York,100390,Support,3.31,2015-11-05
310,Frank,51,Los Angeles,108369,IT,2.04,2015-11-06
311,Helen,21,Houston,110821,Marketing,4.64,2015-11-07
312,Grace,42,Los Angeles,49589,Support,1.08,2015-11-08
313,David,32,Chicago,54116,IT,2.39,2015-11-09
314,Grace,21,Chicago,113181,IT,3.88,2015-11-10
315,Charlie,62,Phoenix,84786,Finance,4.07,2015-11-11
316,Helen,29,Chicago,116425,IT,2.66,2015-11-12
317,Charlie,49,Los Angeles,70286,Marketing,1.07,2015-11-13
318,Alice,49,Chicago,55994,HR,3.47,2015-11-14
319,Grace,45,New York,66639,HR,1.25,2015-11-15
320,Frank,30,San Diego,57205,HR,1.43,2015-11-16
321,Helen,48,Chicago,96677,Marketing,3.6,2015-11-17
322,Eva,31,Houston,72930,HR,2.25,2015-11-18
323,David,37,New York,113313,Finance,2.39,2015-11-19
324,Bob,35,Phoenix,58316,Marketing,2.95,2015-11-20
325,Frank,46,Houston,67304,Support,4.91,2015-11-21
326,Frank,23,Los Angeles,53403,Marketing,4.86,2015-11-22
327,Charlie,49,San Diego,113495,Marketing,2.67,2015-11-23
328,Grace,46,Los Angeles,71932,IT,2.06,2015-11-24
329,Helen,60,San Diego,76701,IT,2.21,2015-11-25
330,Helen,19,San Diego,43385,IT,2.08,2015-11-26
331,Alice,40,Los Angeles,97241,Sales,3.13,2015-11-27
332,Alice,36,Houston,50367,Finance,3.43,2015-11-28
333,David,48,Houston,105030,Marketing,2.96,2015-11-29
334,Charlie,22,San Diego,86505,Marketing,2.63,2015-11-30
335,Frank,36,Houston,73332,IT,1.85,2015-12-01
336,Helen,51,San Diego,116325,Marketing,2.93,2015-12-02
337,Eva,27,San Diego,75268,Support,2.36,2015-12-03
338,Charlie,42,New York,65563,Marketing,3.17,2015-12-04
339,David,19,Dallas,76404,HR,3.7,2015-12-05
340,David,28,New York,95182,Support,3.53,2015-12-06
341,Charlie,48,Los Angeles,72991,Support,2.85,2015-12-07
342,David,32,Dallas,87663,Marketing,3.22,2015-12-08
343,Charlie,26,Chicago,105886,Sales,2.14,2015-12-09
344,Bob,40,Los Angeles,64127,IT,1.1,2015-12-10
345,Charlie,36,Phoenix,97692,Finance,3.5,2015-12-11
346,Grace,26,New York,77500,Finance,2.01,2015-12-12
347,Charlie,52,Houston,73785,HR,3.68,2015-12-13
348,David,38,New York,87997,Finance,3.99,2015-12-14
349,Helen,26,Houston,47170,Finance,4.66,2015-12-15
350,Grace,45,Dallas,53303,IT,4.83,2015-12-16
351,David,63,Phoenix,111743,IT,1.04,2015-12-17
352,Alice,24,Dallas,117852,Sales,4.96,2015-12-18
353,Alice,33,Phoenix,75187,HR,3.73,2015-12-19
354,Helen,33,New York,105034,Finance,3.57,2015-12-20
355,Helen,50,Houston,111776,Sales,1.06,2015-12-21
356,Grace,21,Dallas,41893,HR,4.44,2015-12-22
357,Bob,21,Phoenix,53753,Support,1.58,2015-12-23
358,Helen,56,San Diego,78090,Finance,4.35,2015-12-24
359,Alice,57,Los Angeles,104922,Finance,1.06,2015-12-25
360,Charlie,34,Los Angeles,116768,IT,3.58,2015-12-26
361,David,54,Dallas,99412,Marketing,2.74,2015-12-27
362,Alice,56,Houston,96030,HR,1.8,2015-12-28
363,Alice,46,San Diego,57509,Finance,1.43,2015-12-29
364,Bob,53,Dallas,108653,HR,2.76,2015-12-30
365,Grace,55,New York,76929,Sales,1.49,2015-12-31
366,Grace,56,Phoenix,88291,Sales,2.95,2016-01-01
367,Frank,54,New York,44042,Marketing,3.5,2016-01-02
368,Bob,52,Los Angeles,102574,Finance,4.31,2016-01-03
369,Charlie,24,Phoenix,77201,IT,3.71,2016-01-04
370,Grace,44,Dallas,54016,Finance,1.26,2016-01-05
371,David,45,New York,65022,HR,2.23,2016-01-06
372,Helen,39,Chicago,67938,Support,2.15,2016-01-07
373,Bob,31,Houston,83678,Sales,4.66,2016-01-08
374,Helen,24,San Diego,101720,HR,4.47,2016-01-09
375,Alice,54,San Diego,96805,Marketing,2.48,2016-01-10
376,David,39,Houston,114323,Sales,1.28,2016-01-11
377,David,22,Chicago,41986,IT,4.58,2016-01-12
378,Alice,19,Los Angeles,116478,Sales,4.55,2016-01-13
379,Bob,44,Phoenix,52161,Support,4.42,2016-01-14
380,Alice,38,Houston,60689,Finance,4.38,2016-01-15
381,Helen,55,Chicago,100924,Support,2.92,2016-01-16
382,Frank,32,Dallas,114308,Support,1.71,2016-01-17
383,David,38,San Diego,103745,Finance,2.91,2016-01-18
384,Eva,27,Chicago,41211,Sales,2.98,2016-01-19
385,Eva,40,Los Angeles,40229,Marketing,2.96,2016-01-20
386,Helen,56,Los Angeles,88542,Finance,3.16,2016-01-21
387,Charlie,22,New York,54345,Finance,2.03,2016-01-22
388,Grace,18,Houston,71819,IT,2.46,2016-01-23
389,Alice,30,New York,87779,Sales,2.74,2016-01-24
390,Alice,38,San Diego,105584,Finance,1.52,2016-01-25
391,Charlie,43,Chicago,59950,Marketing,2.82,2016-01-26
392,Charlie,62,Phoenix,55173,HR,4.24,2016-01-27
393,Helen,38,Phoenix,98032,Sales,4.31,2016-01-28
394,Helen,35,Los Angeles,68036,IT,2.65,2016-01-29
395,Charlie,54,Phoenix,111356,Support,3.08,2016-01-30
396,David,62,Phoenix,54292,Finance,1.13,2016-01-31
397,Helen,49,San Diego,43052,Marketing,3.7,2016-02-01
398,Frank,53,Phoenix,84377,Sales,2.62,2016-02-02
399,Helen,34,Chicago,107838,Marketing,2.78,2016-02-03
400,Alice,52,Phoenix,107819,Marketing,4.49,2016-02-04
401,Helen,28,Dallas,55620,Support,2.85,2016-02-05
402,David,38,Phoenix,70461,IT,1.08,2016-02-06
403,Charlie,43,Phoenix,60750,Sales,1.91,2016-02-07
404,Alice,21,New York,49472,Finance,2.9,2016-02-08
405,Helen,51,Chicago,109263,IT,2.7,2016-02-09
406,David,35,Los Angeles,97602,Finance,4.44,2016-02-10
407,Frank,57,New York,65523,HR,3.17,2016-02-11
408,Helen,52,Houston,70766,Marketing,3.76,2016-02-12
409,David,58,Chicago,106060,HR,2.88,2016-02-13
410,Frank,46,Dallas,49079,Marketing,2.76,2016-02-14
411,Charlie,46,Chicago,48399,Support,2.79,2016-02-15
412,Helen,55,Houston,100726,IT,2.64,2016-02-16
413,Frank,59,Houston,56532,Finance,3.15,2016-02-17
414,Alice,38,Houston,83162,Support,2.0,2016-02-18
415,Charlie,59,San Diego,43749,Finance,4.56,2016-02-19
416,Alice,30,Los Angeles,51353,IT,2.33,2016-02-20
417,Eva,58,Phoenix,68477,Sales,1.59,2016-02-21
418,Bob,34,Chicago,64570,HR,1.39,2016-02-22
419,Helen,26,San Diego,51437,HR,1.05,2016-02-23
420,Frank,58,Phoenix,78104,Finance,2.69,2016-02-24
421,Bob,18,Phoenix,103370,Finance,1.75,2016-02-25
422,Bob,19,Dallas,44551,Finance,1.09,2016-02-26
423,Frank,46,Houston,108359,IT,3.08,2016-02-27
424,Charlie,50,Los Angeles,94880,Sales,3.72,2016-02-28
425,Helen,27,Dallas,52916,HR,1.34,2016-02-29
426,Eva,57,New York,81445,Support,2.84,2016-03-01
427,Alice,38,San Diego,87636,Marketing,3.97,2016-03-02
428,David,45,San Diego,113927,IT,4.94,2016-03-03
429,Alice,28,Los Angeles,118194,HR,3.67,2016-03-04
430,David,51,Phoenix,69685,Sales,1.98,2016-03-05
431,Alice,25,San Diego,91134,IT,3.87,2016-03-06
432,Frank,39,Los Angeles,107847,Support,3.39,2016-03-07
433,Eva,25,San Diego,79993,HR,1.85,2016-03-08
434,Helen,32,San Diego,84333,IT,4.4,2016-03-09
435,David,34,Houston,98865,HR,2.71,2016-03-10
436,Helen,40,New York,119096,HR,4.85,2016-03-11
437,Helen,41,Houston,89756,Sales,3.89,2016-03-12
438,Helen,62,New York,101192,Marketing,3.58,2016-03-13
439,Grace,36,San Diego,100686,Sales,3.91,2016-03-14
440,Charlie,22,Dallas,88733,HR,2.91,2016-03-15
441,Alice,49,Phoenix,65993,IT,3.02,2016-03-16
442,Helen,61,San Diego,70492,Support,4.4,2016-03-17
443,Alice,18,New York,60981,Sales,3.72,2016-03-18
444,Helen,40,New York,64143,Marketing,4.59,2016-03-19
445,David,54,New York,117603,HR,4.56,2016-03-20
446,Charlie,25,San Diego,100277,Support,4.91,2016-03-21
447,Charlie,30,Los Angeles,89990,Sales,3.8,2016-03-22
448,Frank,25,Dallas,102888,Sales,3.01,2016-03-23
449,Grace,40,Los Angeles,109351,Sales,1.67,2016-03-24
450,Frank,60,Phoenix,89999,Sales,3.82,2016-03-25
451,Frank,18,San Diego,110309,Support,2.17,2016-03-26
452,Frank,62,New York,52446,IT,2.13,2016-03-27
453,Frank,41,Dallas,70733,Marketing,1.95,2016-03-28
454,Frank,52,Dallas,116000,Marketing,4.5,2016-03-29
455,Eva,41,Chicago,88632,HR,4.47,2016-03-30
456,Charlie,34,Phoenix,61576,Finance,3.52,2016-03-31
457,Frank,22,Dallas,43320,IT,2.89,2016-04-01
458,Helen,37,San Diego,50750,HR,3.69,2016-04-02
